통계표코드,통계명,통계항목코드1,통계항목명1,통계항목코드2,통계항목명2,통계항목코드3,통계항목명3,통계항목코드4,통계항목명4,단위,WGT,시점,값
200Y101,2.1.1.1. 주요지표(연간지표),7010105,국외순수취경상이전,,,,,,,%,,2024,-0.2
200Y101,2.1.1.1. 주요지표(연간지표),7010106,가계,,,,,,,%,,2024,55.5
200Y101,2.1.1.1. 주요지표(연간지표),7010107,기업,,,,,,,%,,2024,23.7
200Y101,2.1.1.1. 주요지표(연간지표),7010108,정부,,,,,,,%,,2024,20.8
200Y101,2.1.1.1. 주요지표(연간지표),7010200,피용자보수비율,,,,,,,%,,2024,67.9
200Y101,2.1.1.1. 주요지표(연간지표),701040101,피용자보수,,,,,,,%,,2024,47.4
200Y101,2.1.1.1. 주요지표(연간지표),701040102,기업 및 재산소득,,,,,,,%,,2024,22.4
200Y101,2.1.1.1. 주요지표(연간지표),701040103,고정자본소모,,,,,,,%,,2024,21.9
200Y101,2.1.1.1. 주요지표(연간지표),701040104,생산 및 수입세 (공제)보조금,,,,,,,%,,2024,8.3
200Y101,2.1.1.1. 주요지표(연간지표),701040201,가계,,,,,,,%,,2024,61
200Y101,2.1.1.1. 주요지표(연간지표),701040202,기업,,,,,,,%,,2024,26.6
200Y101,2.1.1.1. 주요지표(연간지표),701040203,정부,,,,,,,%,,2024,12.4
200Y101,2.1.1.1. 주요지표(연간지표),701050101,가계,,,,,,,%,,2024,65.2
200Y101,2.1.1.1. 주요지표(연간지표),701050102,기업,,,,,,,%,,2024,23.7
200Y101,2.1.1.1. 주요지표(연간지표),701050103,정부,,,,,,,%,,2024,11
200Y101,2.1.1.1. 주요지표(연간지표),70106,실질 가계총처분가능소득,,,,,,,십억원,,2024,1269501.6
200Y101,2.1.1.1. 주요지표(연간지표),80101,총저축률,,,,,,,%,,2024,34.8
200Y101,2.1.1.1. 주요지표(연간지표),8010101,민간,,,,,,,%,,2024,31.3
200Y101,2.1.1.1. 주요지표(연간지표),8010102,(가계 및 비영리단체),,,,,,,%,,2024,8
200Y101,2.1.1.1. 주요지표(연간지표),8010103,(기업),,,,,,,%,,2024,23.3
200Y101,2.1.1.1. 주요지표(연간지표),8010104,정부,,,,,,,%,,2024,3.5
